"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"UF7UPBE6","journalArticle","2020","Pan, Haining; Wu, Fengcheng; Das Sarma, Sankar","Band topology, Hubbard model, Heisenberg model, and Dzyaloshinskii-Moriya interaction in twisted bilayer ${\mathrm{WSe}}_{2}$","Physical Review Research","","","10.1103/PhysRevResearch.2.033087","https://link.aps.org/doi/10.1103/PhysRevResearch.2.033087","We present a theoretical study of single-particle and many-body properties of twisted bilayer WSe2. For single-particle physics, we calculate the band topological phase diagram and electron local density of states (LDOS), which are found to be correlated. By comparing our theoretical LDOS with those measured by scanning tunneling microscopy, we comment on the possible topological nature of the first moiré valence band. For many-body physics, we construct a generalized Hubbard model on a triangular lattice based on the calculated single-particle moiré bands. We show that a layer potential difference, arising, for example, from an applied electric field, can drastically change the noninteracting moiré bands, tune the spin-orbit coupling in the Hubbard model, control the charge excitation gap of the Mott insulator at half-filling, and generate an effective Dzyaloshinskii-Moriya interaction in the effective Heisenberg model for the Mott insulator. Our theoretical results agree with transport experiments on the same system in several key aspects, and establish twisted bilayer WSe2 as a highly tunable system for studying and simulating strongly correlated phenomena in the Hubbard model.","2020-07-16","2022-11-29 04:26:35","2023-06-26 03:09:56","2020-08-09 00:26:57","033087","","3","2","","Phys. Rev. Research","","","","","","","","","All rights reserved","","","","APS","","Publisher: American Physical Society","","C:\Users\jack_\Zotero\storage\WP6X4CSP\PhysRevResearch.2.html; C:\Users\jack_\Zotero\storage\6NGJQVHA\Pan et al_2020_Band topology, Hubbard model, Heisenberg model, and Dzyaloshinskii-Moriya.pdf","","electron; fermion systems; hartree and fock terms; lattice model; momentum space; normal order","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3QXJ3NU7","journalArticle","2013","Jung, Jeil; MacDonald, Allan H.","Gapped broken symmetry states in ABC trilayer graphene","Physical Review B","","1098-0121, 1550-235X","10.1103/PhysRevB.88.075408","http://arxiv.org/abs/1208.0116","We use a self-consistent Hartree-Fock approximation with realistic Coulomb interactions for $\pi$-band electrons to explore the possibility of broken symmetry states in weakly disordered ABC stacked trilayer graphene. The competition between gapped and gapless broken symmetry states, and normal states is studied by comparing total energies. We find that gapped states are favored and that, unlike the bilayer case, gapless nematic broken symmetry states are not metastable. Among the gapped states the layer antiferromagnetic state is favored over anomalous and spin Hall states.","2013-08-08","2023-06-12 22:19:24","2023-06-26 15:34:15","2023-06-12 22:19:24","075408","","7","88","","Phys. Rev. B","","","","","","","","","","","","","arXiv.org","","arXiv:1208.0116 [cond-mat]","","C:\Users\jack_\Zotero\storage\S9DLTYEX\Jung and MacDonald - 2013 - Gapped broken symmetry states in ABC trilayer grap.pdf; C:\Users\jack_\Zotero\storage\YZLIAK9Y\1208.html","","electron; fermion systems; hartree and fock terms; lattice model; momentum space; normal order","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8PSLZ2K2","journalArticle","2009","Barlas, Yafis; Lee, Wei-Cheng; Nomura, Kentato; MacDonald, Allan H.","Renormalized Landau Levels and Particle-Hole Symmetry in Graphene","International Journal of Modern Physics B","","0217-9792, 1793-6578","10.1142/S0217979209062104","http://arxiv.org/abs/0910.0841","In this proceedings paper we report on a calculation of graphene's Landau levels in a magnetic field. Our calculations are based on a self-consistent Hartree-Fock approximation for graphene's massless-Dirac continuum model. We find that because of graphene's chiral band structure interactions not only shift Landau-level energies, as in a non-relativistic electron gas, but also alter Landau level wavefunctions. We comment on the subtle continuum model regularization procedure necessary to correctly maintain the lattice-model's particle hole symmetry properties.","2009-05-20","2023-06-12 22:13:51","2023-06-26 15:36:49","2023-06-12 22:13:51","2634-2640","","12n13","23","","Int. J. Mod. Phys. B","","","","","","","","","","","","","arXiv.org","","arXiv:0910.0841 [cond-mat]","","C:\Users\jack_\Zotero\storage\FABN82Q4\Barlas et al. - 2009 - Renormalized Landau Levels and Particle-Hole Symme.pdf; C:\Users\jack_\Zotero\storage\8JSFH4C7\0910.html","","electron; fermion systems; hartree and fock terms; lattice model; momentum space; normal order","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F4HH75SQ","journalArticle","2000","Kim, Tae-Suk; Yang, S. R. Eric; MacDonald, A. H.","Hartree-Fock Theory of Hole Stripe States","Physical Review B","","0163-1829, 1095-3795","10.1103/PhysRevB.62.R7747","http://arxiv.org/abs/cond-mat/0005374","We report on Hartree-Fock theory results for stripe states of two-dimensional hole systems in quantum wells grown on GaAs (311)A substrates. We find that the stripe orientation energy has a rich dependence on hole density, and on in-plane field magnitude and orientation. Unlike the electron case, the orientation energy is non-zero for zero in-plane field, and the ground state orientation can be either parallel or perpendicular to a finite in-plane field. We predict an orientation reversal transition in in-plane fields applied along the $\lbrack\bar{2}33\rbrack$ direction.","2000-09-15","2023-06-12 20:32:12","2023-06-26 03:13:08","2023-06-12 20:32:12","R7747-R7750","","12","62","","Phys. Rev. B","","","","","","","","","","","","","arXiv.org","","arXiv:cond-mat/0005374","","C:\Users\jack_\Zotero\storage\HJM62FKE\Kim et al. - 2000 - Hartree-Fock Theory of Hole Stripe States.pdf; C:\Users\jack_\Zotero\storage\4VK76A7P\0005374.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G4G9HN47","journalArticle","2000","Lee, Byounghak; Jungwirth, T.; MacDonald, A. H.","Theory of Ferromagnetism in Diluted Magnetic Semiconductor Quantum Wells","Physical Review B","","0163-1829, 1095-3795","10.1103/PhysRevB.61.15606","http://arxiv.org/abs/cond-mat/0001391","We present a mean field theory of ferromagnetism in diluted magnetic semiconductor quantum wells. When subband mixing due to exchange interactions between quantum well free carriers and magnetic impurities is neglected, analytic result can be obtained for the dependence of the critical temperature and the spontaneous magnetization on the distribution of magnetic impurities and the quantum well width. The validity of this approximate theory has been tested by comparing its predictions with those from numerical self-consistent field calculations. Interactions among free carriers, accounted for using the local-spin-density approximation, substantially enhance the critical temperature. We demonstrate that an external bias potential can tune the critical temperature through a wide range.","2000-06-15","2023-06-12 20:30:38","2023-06-26 03:13:10","2023-06-12 20:30:38","15606-15609","","23","61","","Phys. Rev. B","","","","","","","","","","","","","arXiv.org","","arXiv:cond-mat/0001391","","C:\Users\jack_\Zotero\storage\KKVIG67U\Lee et al. - 2000 - Theory of Ferromagnetism in Diluted Magnetic Semic.pdf; C:\Users\jack_\Zotero\storage\46S9XWIK\0001391.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DQ6EE58F","journalArticle","1997","Fertig, H. A.; Brey, L.; Cote, R.; MacDonald, A. H.; Karlhede, A.; Sondhi, S. L.","Hartree-Fock Theory of Skyrmions in Quantum Hall Ferromagnets","Physical Review B","","0163-1829, 1095-3795","10.1103/PhysRevB.55.10671","http://arxiv.org/abs/cond-mat/9612210","We report on a study of the charged-skyrmion or spin-texture excitations which occur in quantum Hall ferromagnets near odd Landau level filling factors. Particle-hole symmetry is used to relate the spin-quantum numbers of charged particle and hole excitations and neutral particle-hole pair excitations. Hartree-Fock theory is used to provide quantitative estimates of the energies of these excitations and their dependence on Zeeman coupling strength, Landau level quantum numbers, and the thicknesses of the two-dimensional electron layers. For the case of $\nu$ near three we suggest the possibility of first order phase transitions with increasing Zeeman coupling strength from a many skyrmion state to one with many maximally spin-polarized quasiparticles.","1997-04-15","2023-06-12 20:28:30","2023-06-26 03:13:12","2023-06-12 20:28:30","10671-10680","","16","55","","Phys. Rev. B","","","","","","","","","","","","","arXiv.org","","arXiv:cond-mat/9612210","","C:\Users\jack_\Zotero\storage\BR3I79IB\Fertig et al. - 1997 - Hartree-Fock Theory of Skyrmions in Quantum Hall F.pdf; C:\Users\jack_\Zotero\storage\BUV7TPLJ\9612210.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SHSKB5VX","journalArticle","1995","Yang, Kun; MacDonald, A. H.","Charged Pseudospin Textures in Double-Layer Quantum Hall Systems with Spontaneous Interlayer Coherence","Physical Review B","","0163-1829, 1095-3795","10.1103/PhysRevB.51.17247","http://arxiv.org/abs/cond-mat/9503138","We report on a Hartree-Fock approximation study of the meron pseudospin-texture excitations of the broken-symmetry incompressible ground states of double-layer quantum Hall states at $\nu =1$. We have obtained results for meron core energies and core sizes. We use these to estimate the charge gap which determines the activation energy for dissipation in the quantum Hall effect.","1995-06-15","2023-06-12 20:27:01","2023-06-26 03:13:15","2023-06-12 20:27:01","17247-17250","","23","51","","Phys. Rev. B","","","","","","","","","","","","","arXiv.org","","arXiv:cond-mat/9503138","","C:\Users\jack_\Zotero\storage\E4LCFGN2\Yang and MacDonald - 1995 - Charged Pseudospin Textures in Double-Layer Quantu.pdf; C:\Users\jack_\Zotero\storage\TG9BY2KG\9503138.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TIFR6W8G","journalArticle","1995","Yang, S.-R. Eric; MacDonald, A. H.","Interactions, Localization, and the Integer Quantum Hall Effect","Physical Review Letters","","0031-9007, 1079-7114","10.1103/PhysRevLett.74.3229","http://arxiv.org/abs/cond-mat/9501019","We report on numerical studies of the influence of Coulomb interactions on localization of electronic wavefunctions in a strong magnetic field. Interactions are treated in the Hartree-Fock approximation. Localization properties are studied both by evaluating participation ratios of Hartree-Fock eigenfunctions and by studying the boundary-condition dependence of Hartree-Fock eigenvalues. We find that localization properties are independent of interactions. Typical energy level spacings near the Fermi level and the sensitivity of those energy levels to boundary condition show similar large enhancements so that the Thouless numbers of the Hartree-Fock eigenvalues are similar to those of non-interacting electrons.","1995-04-17","2023-06-12 20:26:23","2023-06-26 03:13:17","2023-06-12 20:26:23","3229-3232","","16","74","","Phys. Rev. Lett.","","","","","","","","","","","","","arXiv.org","","arXiv:cond-mat/9501019","","C:\Users\jack_\Zotero\storage\SMVXFX34\Yang and MacDonald - 1995 - Interactions, Localization, and the Integer Quantu.pdf; C:\Users\jack_\Zotero\storage\NH82J6V6\9501019.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PFCA78MW","journalArticle","2009","Raghu, S.; Paramekanti, A.; Kim, E.-A.; Borzi, R. A.; Grigera, S.; Mackenzie, A. P.; Kivelson, S. A.","Microscopic theory of the nematic phase in Sr$_3$Ru$_2$O$_7$","Physical Review B","","1098-0121, 1550-235X","10.1103/PhysRevB.79.214402","http://arxiv.org/abs/0902.1336","In an externally applied magnetic field, ultra-pure crystals of the bilayer compound Sr$_3$Ru$_2$O$_7$ undergo a metamagnetic transition below a critical temperature, $T^*$, which varies as a function of the angle between the magnetic field $H$ and the Ru-O planes. Moreover, $T^*$ approaches zero when $H$ is perpendicular to the planes. This putative ""metamagnetic quantum critical point"", however, is preempted by a nematic fluid phase with order one resistive anisotropy in the {\it ab} plane. In a ""realistic"" bilayer model with moderate strength local Coulomb interactions, the existence of a sharp divergence of the electronic density of states near a van Hove singularity of the quasi-one-dimensional bands, and the spin-orbit couplings permitted by the presence of multiple orbitals result in a mean-field phase diagram which accounts for many of these experimentally observed phenomena. Although the spin-orbit coupling is not overly strong, it destroys the otherwise near perfect Fermi surface nesting and hence suppresses spin-density-wave (SDW) ordering.","2009-06-04","2023-06-12 20:24:31","2023-06-26 15:54:40","2023-06-12 20:24:31","214402","","21","79","","Phys. Rev. B","","","","","","","","","","","","","arXiv.org","","arXiv:0902.1336 [cond-mat]","","C:\Users\jack_\Zotero\storage\VA5NK62Z\Raghu et al. - 2009 - Microscopic theory of the nematic phase in Sr$_3$R.pdf; C:\Users\jack_\Zotero\storage\XGIEK88E\0902.html","","electron; fermion systems; hartree term; lattice model; momentum space; normal order","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8Y65RHWI","journalArticle","2011","Fischer, Mark Hannes; Kim, Eun-Ah","Mean-Field Analysis of Intra-Unit-Cell Order in the Emery Model of the CuO$_2$ Plane","Physical Review B","","1098-0121, 1550-235X","10.1103/PhysRevB.84.144502","http://arxiv.org/abs/1106.6060","Motivated by recent experiments on high-$T_c$ cuprate superconductors pointing towards intra-unit-cell order in the pseudogap phase, we investigate three distinct intra-unit-cell-ordering possibilities: nematic, nematic-spin-nematic, and current-loop order. The first two are Fermi-surface instabilities involving a spontaneous charge and magnetization imbalance between the two oxygen sites in the unit cell, respectively, while the third describes circulating currents within the unit cell. We analyze the three-band Emery model of a single CuO$_2$ layer including various on-site and nearest-neighbor interactions within a self-consistent mean-field approach. We show how these on-site and further-neighbor repulsions suppress or enhance particular IUC orders. In particular, we show that the attractive interactions necessary for nematic and nematic-spin-nematic orders in one-band models have their natural microscopic origin in the O-O on-site and nearest-neighbor repulsions in the three-band model. Finally, we find that while the nematic and nematic-spin-nematic orders cannot coexist in this framework, the loop-current order can coexist with nematic order.","2011-10-03","2023-06-12 20:21:54","2023-06-26 03:09:33","2023-06-12 20:21:54","144502","","14","84","","Phys. Rev. B","","","","","","","","","","","","","arXiv.org","","arXiv:1106.6060 [cond-mat]","","C:\Users\jack_\Zotero\storage\HRN98CTQ\Fischer and Kim - 2011 - Mean-Field Analysis of Intra-Unit-Cell Order in th.pdf; C:\Users\jack_\Zotero\storage\9S4SWHMM\1106.html","","electron; fermion systems; hartree term; lattice model; momentum space; normal order","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
